year,industrial,commercial,residential,transportation,direct use
1960,0.324,0.159,0.201,0.003,0
1961,0.337,0.168,0.214,0.003,0
1962,0.36,0.182,0.233,0.003,0
1963,0.377,0.202,0.251,0.003,0
1964,0.405,0.216,0.272,0.003,0
1965,0.429,0.231,0.291,0.003,0
1966,0.464,0.252,0.317,0.003,0
1967,0.485,0.271,0.34,0.003,0
1968,0.521,0.297,0.382,0.003,0
1969,0.559,0.325,0.427,0.003,0
1970,0.571,0.352,0.466,0.003,0
1971,0.589,0.377,0.5,0.003,0
1972,0.641,0.413,0.539,0.003,0
1973,0.686,0.445,0.579,0.003,0
1974,0.685,0.44,0.578,0.003,0
1975,0.688,0.468,0.588,0.003,0
1976,0.754,0.492,0.606,0.003,0
1977,0.786,0.514,0.645,0.003,0
1978,0.809,0.531,0.674,0.003,0
1979,0.842,0.543,0.683,0.003,0
1980,0.815,0.559,0.717,0.003,0
1981,0.826,0.596,0.722,0.003,0
1982,0.745,0.609,0.73,0.003,0
1983,0.776,0.62,0.751,0.004,0
1984,0.838,0.664,0.78,0.004,0
1985,0.837,0.689,0.794,0.004,0
1986,0.831,0.715,0.819,0.004,0
1987,0.858,0.744,0.85,0.005,0
1988,0.896,0.784,0.893,0.005,0
1989,0.926,0.811,0.906,0.005,0.109
1990,0.946,0.838,0.924,0.005,0.125
1991,0.947,0.855,0.955,0.005,0.124
1992,0.973,0.85,0.936,0.005,0.134
1993,0.977,0.885,0.995,0.005,0.139
1994,1.008,0.913,1.008,0.005,0.146
1995,1.013,0.953,1.043,0.005,0.151
1996,1.034,0.98,1.083,0.005,0.153
1997,1.038,1.027,1.076,0.005,0.156
1998,1.051,1.078,1.13,0.005,0.161
1999,1.058,1.104,1.145,0.005,0.172
2000,1.064,1.159,1.192,0.005,0.171
2001,0.997,1.191,1.202,0.006,0.163
2002,0.99,1.205,1.265,0.006,0.166
2003,1.012,1.199,1.276,0.007,0.168
2004,1.018,1.23,1.292,0.007,0.168
2005,1.019,1.275,1.359,0.008,0.15
2006,1.011,1.3,1.352,0.007,0.147
2007,1.028,1.336,1.392,0.008,0.126
2008,1.01,1.336,1.381,0.008,0.132
2009,0.917,1.307,1.365,0.008,0.127
2010,0.971,1.33,1.446,0.008,0.132
2011,0.991,1.328,1.423,0.008,0.133
2012,0.986,1.327,1.375,0.007,0.138
2013,0.985,1.337,1.395,0.008,0.143
2014,0.998,1.352,1.407,0.008,0.139
2015,0.987,1.361,1.404,0.008,0.141
2016,0.977,1.367,1.411,0.007,0.14
2017,0.984,1.353,1.379,0.008,0.141
2018,1.001,1.382,1.469,0.008,0.144
2019,1.002,1.361,1.44,0.008,0.143
2020,0.959,1.287,1.465,0.007,0.139
2021,0.987,1.325,1.477,0.006,0.136
